Gene_id	CIP_1_readcount	CIP_1_fpkm
b2518	2031	806.8656145
b2519	512	37.99000577
b2520	4666	161.3849403
b2521	1872	379.7611315
b2522	424	93.65260653
b2523	1273	170.1525301
b2524	207	176.7458883
b2525	138	70.48794353
b2526	1783	165.3179289
b2527	365	121.3998623
b2528	1007	533.4079592
b2529	699	309.9854018
b2530	2959	417.9686597
b2531	898	315.1682853
b2532	1391	322.1691515
b2533	1674	357.3340784
b2534	60	12.0437066
b2535	3142	420.9515202
b2536	701	105.5329791
b2537	595	114.6078309
b2538	254	32.00601765
b2539	34	11.24311339
b2540	6	3.20790316
b2541	53	11.18820346
b2542	60	8.559741598
b2543	384	155.7994386
b2544	73	14.35104901
b2545	71	11.47384195
b2546	17	2.920508432
b2547	55	6.24289355
b2548	22	3.837095548
b2549	81	4.235663724
b2550	137	19.6920655
b2551	7017	960.348741
b2552	177	25.50565825
b2553	456	230.8554734
b2554	352	45.2518594
b2555	288	69.22601104
b2556	615	73.91318887
b2557	1960	86.51767626
b2558	320	35.27251258
b2559	388	132.1223289
b2560	401	108.2087271
b2561	169	34.16284619
b2562	115	75.61924977
b2563	64	28.82902997
b2564	505	118.4009885
b2565	366	86.16454289
b2566	1773	335.8579008
b2567	1367	344.5057175
b2568	2340	411.8947657
b2569	4945	471.4860223
b2570	1045	373.6371789
b2571	1790	321.0081986
b2572	3981	1049.509128
b2573	2598	774.0904234
b2574	524	55.40995513
b2575	309	71.8583348
b2576	1613	207.3615035
b2577	192	37.36006945
b2578	77	22.47441678
b2579	3090	1381.027372
b2580	284	70.6389574
b2581	2660	439.8041413
b2582	393	160.5899235
b2583	169	41.49392907
b2584	2950	190.2620504
b2585	2081	263.3828071
b2586	38	20.12860223
b2587	5145	679.7531978
b2588	0	0
b2589	0	0
b2590	1	2.258194987
b2591	0	0
b2592	2544	169.6225531
b2593	526	123.324594
b2594	1165	203.8130318
b2595	2248	522.7751995
b2597	13322	6685.260805
b2598	2	7.150950793
b2599	593	87.65920042
b2600	720	110.1322903
b2601	916	146.7847827
b2602	51	23.91465511
b2603	175	57.86896596
b2604	141	19.72193764
b2605	129	45.83715043
b2606	9579	4724.066045
b2607	18329	4095.930534
b2608	10037	3137.665273
b2609	4994	3442.105857
b2610	4114	518.3966795
b2611	310	67.17559836
