Gene_id	KAN_3_readcount	KAN_3_fpkm
b0141	3	0.845039796
b0142	9	3.089676756
b0143	2853	336.284131
b0144	320	56.88293775
b0145	2874	1038.565029
b0146	429	100.2720626
b0147	78	24.20537722
b0148	2489	168.7836586
b0149	5834	379.2278594
b0150	1054	77.39796317
b0151	243	50.17820896
b0152	152	28.11108818
b0153	559	46.45162028
b0154	1738	223.5694281
b0155	1091	126.4261543
b0156	4641	2216.686349
b0157	293	77.37395636
b0158	91	18.72063819
b0159	1213	285.9534882
b0160	419	45.48351552
b0161	9632	1113.815823
b0162	919	130.7731923
b0163	1258	535.6504198
b0164	109	22.0926456
b0166	1165	232.6932312
b0167	684	42.16663226
b0168	546	113.1715561
b0169	45348	10292.79423
b0170	3478	672.6695309
b0171	581	131.8716029
b0172	2099	619.8548635
b0173	549	75.57705547
b0174	1699	367.4093304
b0175	1923	369.3208019
b0176	3795	462.1955472
b0177	9227	624.9282899
b0178	1896	642.8562007
b0179	1751	281.22282
b0180	709	256.208283
b0181	1613	336.8752755
b0182	966	138.5379865
b0183	368	101.5746328
b0184	2414	114.2077472
b0185	1563	268.2869316
b0186	481	37.00303814
b0187	377	159.2900016
b0188	1597	202.5851179
b0189	303	195.8006916
b0190	282	85.10757949
b0191	83	32.33326029
b0192	1103	255.6334523
b0193	198	39.54786247
b0194	1561	149.6369336
b0195	148	34.44611373
b0196	131	53.30010271
b0197	513	103.5950442
b0198	313	78.86392045
b0199	316	50.45673668
b0200	15	4.291217716
b0201	6	0.641178056
b0202	0	0
b0203	0	0
b0204	2	0.11348675
b0205	0	0
b0206	0	0
b0207	52	10.65759146
b0208	446	80.32033999
b0209	1501	308.7876694
b0210	466	123.0589203
b0211	1956	237.170772
b0212	52	11.33426394
b0213	359	81.8215919
b0214	130	45.77298897
b0215	510	114.8076609
b0216	9	19.26032263
b0217	86	18.02966588
b0218	6	2.769458156
b0219	423	90.40610584
b0220	1205	418.9097598
b0221	17444	1175.652544
b0222	766	218.0027537
b0223	366	78.5292842
b0224	2218	493.2363864
b0225	355	209.6698204
b0226	998	630.0888689
b0227	126	27.68350373
b0228	149	49.30247246
b0229	302	29.05101787
b0230	173	37.70822425
b0231	1047	163.3783618
b0232	108	60.53244256
b0233	71	29.32224557
b0234	123	44.74233889
b0235	22	17.51314361
b0236	277	91.10743434
b0237	989	111.7765089
b0238	668	239.8145618
b0239	612	81.00164602
b0240	3026	1240.379683
b0241	52	8.11430259
b0242	2676	399.419082
b0243	1506	197.8969992
b0244	293	635.2809048
b0245	38	18.30919559
b0246	11	5.700032589
b0247	18	6.21821737
b0248	25	8.975095877
b0249	23	15.7916812
b0250	175	61.61748515
b0251	9	3.340191087
b0252	31	6.214434999
b0253	407	77.62336046
b0254	65	11.98084946
b0256	0	0
b0258	689	102.468702
b0259	1	0.16202828
b0260	302	35.44472479
b0261	426	75.23843075
b0262	680	107.0222321
b0263	240	113.643283
b0264	0	0
b0265	3	1.79111696
b0266	42	22.39765674
b0267	99	14.1242366
b0268	272	49.30793267
b0269	881	73.76707918
b0270	121	14.41700217
b0271	113	11.558319
b0272	2389	518.6640505
b0273	640	104.9362852
b0274	0	0
b0275	2	1.194077973
b0276	381	75.8239513
b0277	792	208.1466446
b0278	20	4.714814315
b0279	5	0.963641873
b0280	49	18.30919559
b0281	497	58.45612553
b0283	74	12.74182264
b0284	192	14.38758071
b0285	68	11.70870188
b0286	102	24.35919065
b0287	360	96.45820115
b0288	46	22.9697181
b0289	133	30.82434194
b0290	197	19.74586605
b0291	215	14.02545268
b0292	51	12.56191446
b0293	117	32.78840639
b0294	61	17.00803448
b0295	42	30.354719
b0296	10	6.241771223
b0297	63	11.90517649
b0298	0	0
b0299	2	0.380121708
b0300	45	10.84097107
b0301	81	22.4703764
b0303	4	2.781143634
b0304	64	7.953315731
b0305	378	72.8513256
b0306	201	46.00185392
b0307	414	47.77315319
b0308	119	28.1740639
b0310	48	11.82297832
b0311	1310	129.1833728
b0312	4429	495.466969
b0313	2898	812.1436043
b0314	4448	360.3508937
b0315	3578	541.407453
b0316	187	33.02719847
b0317	26	8.603115999
b0318	42	11.42058735
b0319	25	4.768019684
b0320	178	18.94788846
b0321	206	23.92195111
b0323	78	13.51530526
b0324	211	25.14039221
b0325	130	20.40167508
b0326	50	10.09698286
b0327	295	197.6053426
b0328	392	96.12327684
b0329	393	234.6363217
b0330	100	10.38328672
b0331	120	22.19296435
b0333	60	8.450397964
b0334	69	7.830585717
b0335	172	15.01994423
b0336	171	22.36337461
b0337	244	31.31385788
b0338	293	53.64594307
b0339	52	12.98288414
b0340	14	4.898001368
b0341	162	23.11238716
b0342	47	12.65488519
b0343	132	17.34555372
b0344	221	11.84292359
b0345	1259	191.5618608
b0346	3410	673.7520535
b0347	186	18.40816421
b0348	41	7.149304944
b0349	48	9.122920985
b0350	33	6.713371716
b0351	37	6.411106342
b0352	77	12.51308929
b0353	124	16.85896227
b0354	247	75.37285517
b0355	771	152.3351417
b0356	3373	500.7317572
b0357	535	319.4158578
b0358	173	36.8312888
b0360	0	0
b0361	10	1.818794264
b0363	109	15.0052806
b0364	11	3.248405669
b0365	66	11.29352251
b0366	63	13.51733581
b0367	51	10.14966277
b0368	123	23.78906047
b0369	1114	188.2748666
b0372	18	3.421095369
b0373	17	9.33768975
b0375	56	14.78819644
b0376	482	68.58833373
b0377	390	52.6333141
b0378	710	106.8454427
b0379	375	199.979078
b0380	423	327.2446366
b0381	587	88.33559844
b0382	296	186.8800653
b0383	1032	120.09591
b0384	97	49.79416744
b0385	212	31.30281826
b0386	570	115.9582387
b0387	387	138.9344842
b0388	457	143.4394694
b0389	44	37.7627159
b0390	363	88.22439821
b0391	1184	684.5711866
b0392	552	265.965157
b0393	320	57.81851238
b0394	440	79.76283227
b0396	399	55.48381549
b0397	222	11.62433199
b0398	115	15.75230044
b0399	369	88.12295442
b0400	329	41.83142603
b0401	1537	191.8720474
b0402	1541	184.8109415
b0403	445	40.40128283
b0404	158	44.73483871
b0405	640	98.46962333
b0406	840	122.7105662
b0407	265	131.1334279
b0408	2256	201.1633697
b0409	1676	284.1315908
b0410	201	95.17624948
b0411	1016	189.1743327
b0412	118	36.00808466
b0413	498	182.3595881
b0414	1310	195.5302681
b0415	568	198.7189126
b0416	561	220.102687
b0417	215	36.22524894
b0418	1103	350.2030532
b0419	666	112.5593009
b0420	793	70.14102465
b0421	716	131.0938404
b0422	247	167.4952337
b0423	910	103.4867577
b0424	234	65.24393555
b0425	332	59.9867066
b0426	824	275.9776311
b0427	602	72.67342249
b0428	1267	234.3207153
b0429	129	64.41507902
b0430	378	101.2811112
b0431	2768	228.9752412
b0432	2169	377.0187838
b0433	405	45.21478179
b0434	355	101.0326078
b0435	1570	813.5501059
b0436	2895	367.2410247
b0437	1797	474.5426607
b0438	4012	518.5164191
b0439	3850	269.3900752
b0440	1825	1101.569735
b0441	3170	279.0391828
b0442	121	53.59869354
b0443	271	111.9201204
b0444	198	46.87785422
b0445	329	31.87156269
b0446	318	63.98158458
b0447	674	241.9685848
b0448	1225	113.8515969
b0449	1069	98.85116204
b0450	44	21.3877329
b0451	512	65.55460239
b0452	631	120.7641368
b0453	562	161.6193914
b0454	543	229.4283047
b0455	3	4.336388429
b0456	56	26.06732931
