antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ves,b1742,679.5,1.182,2.269,1.85e-07,9.226e-06,5.951354101778203,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,yihL,b3872,264.0,2.035,4.098,6.869e-05,0.001255,5.904260017962289,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,yddB,b1495,86.83,-1.436,0.3695,2.501e-06,8.344e-05,5.85690651177907,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,ydeS,b1504,17.93,-2.311,0.2016,0.0001966,0.002988,5.834395449245693,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,motB,b1889,1822.0,1.128,2.185,1.733e-07,8.741e-06,5.705919056373712,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,hprS,b1968,396.7,-1.038,0.4871,4.822e-08,3.242e-06,5.697776095088029,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,kdpE,b0694,298.0,-1.153,0.4498,2.864e-07,1.284e-05,5.6398245276360415,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,rutA,b1012,249.2,3.058,8.329,0.001353,0.01468,5.606151722036201,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,sfmD,b0532,69.38,-1.726,0.3023,2.899e-05,0.0006012,5.559413254474934,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,yadC,b0135,79.77,-1.565,0.338,1.164e-05,0.0002853,5.547452727356675,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ybgU,b4735,2.73,3.797,13.9,0.004054,0.03487,5.534309955813417,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,hybA,b2996,229.1,1.504,2.837,8.753e-06,0.0002233,5.491271360500558,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ydeP,b1501,105.1,-1.372,0.3863,3.41e-06,0.0001066,5.449917115164561,input
