gene_id,EcMH1_S1,EcMH2_S2,EcMH3_S3,Ectob1_S7,Ectob2_S8,Ectob3_S9,NCMMH1_S73,NCMMH2_S74,NCMMH3_S75,NCMtob1_S76,NCMtob2_S77,NCMtob3_S78
gene-b0109,685.238088215689,557.957845287713,553.592108814893,562.464367333385,608.093365144227,513.861220006098,456.450656581796,516.060882619051,505.510295759601,630.478977599042,730.709652061971,484.446047255946
gene-b0110,162.211140761225,184.231364010094,131.00271277299,119.120638304682,109.199864867449,118.460218942216,119.796436689092,150.444867475384,128.603402052345,170.096913181002,335.0724561662,181.00181985387
gene-b0111,272.431531278468,348.72365330482,294.756103739227,289.292978739942,365.070136468629,301.753395548752,242.216153013711,265.027877006055,270.067144309924,302.507683920703,568.679309408832,338.047516491786
gene-b0112,662.362158108337,581.644734946153,586.34278700814,557.986147848246,479.622935888405,476.242096423097,509.790675837523,534.42915132244,474.843330654811,486.86421856598,414.514517369923,440.970119938104
gene-b0113,3303.49227050265,1879.15991290296,2175.2789161257,2578.5587795427,3210.6901444851,2520.48128006106,6240.78225292007,7689.30715102385,7013.8316965471,4653.72931930537,4162.44938505054,3576.56046975956
gene-b0114,82842.0614387617,76807.3715941225,72488.8720500478,85755.2162087096,94119.5776466366,66240.8733745866,130549.259915119,116075.212692955,122533.321475474,99673.735490896,119137.92204362,95552.9901340326
gene-b0115,24844.2999115895,21049.7492764676,21518.2520464537,23444.3746485966,26000.2737075576,18314.9103367282,43660.9918271755,48603.3136686318,41427.1128288156,35414.7884509187,41523.8148026433,26617.0274205698
gene-b0116,43412.2764537254,36512.0244701719,32219.2720277248,34407.9515921125,40508.8675181818,26948.8994024693,45281.3042153864,53405.3039153752,49533.0841858688,51374.360502614,40917.3808502861,38016.5930160724
gene-b0117,35.3537101659081,27.6347046015141,26.4118372526189,31.3475363959689,33.1881942244209,32.016275389788,10.4931185421102,22.7416660137209,8.9033124497777,13.2410770739702,27.5294271498052,14.1962211650094
gene-b0118,56304.9426992281,54660.1297634805,40975.324313713,39687.7723650907,47900.1995480335,33147.2503179323,27958.9143554527,35694.794167459,39362.5335974061,39126.3642091916,28519.6999721367,33126.8820885494
gene-b0119,178.8481808393,171.071980866516,184.882860768333,195.250369552035,149.882167465126,171.287073335366,216.857783203612,264.153197543989,214.668755733529,296.396417578871,437.324614151191,235.124913045468
gene-b0120,3900.34608330356,4999.24965624533,4950.63477463089,5267.2817584198,4591.7472589852,3687.47451801883,9005.71898876612,5697.66201589914,6496.45031752113,5471.6204647206,4549.43447527066,5107.97782793494
gene-b0121,3793.24513780096,4668.94913934152,4802.72848601623,5295.94236312469,5054.24080430616,3582.62121611728,8014.1192865367,4980.42485700487,5375.622205788,5187.44657982539,4212.00235392019,4606.67376804555
gene-b0122,789.219588703654,817.197693216202,788.129223618149,706.663034754842,742.987315862841,584.297025863631,462.571642398027,433.841013184829,465.940018205033,525.568905397586,910.830761127839,512.838489585964
gene-b0123,301.546351415098,202.654500411103,282.07842185797,289.292978739942,298.693748019788,262.533458196262,221.229915929491,294.766978716305,276.002685943109,325.934204897728,288.665707542243,284.811687123001
gene-b0124,1607.55399754394,1639.65913968984,1522.37829924096,2115.51088477939,2489.11456683156,1147.7834727239,560.507415457722,341.999669667879,345.250671663602,2082.92327817454,313.048914446356,1892.53373406032
gene-b0125,344.178766615164,255.292032985416,310.603206090799,344.822900355658,392.905396140724,311.358278165688,791.356023384147,918.413435169497,641.038496383994,805.66861273157,608.793617541406,452.504549634675
gene-b0126,7433.63746988461,6227.02010354117,7106.8971679347,6891.97978762802,6530.58015383765,6238.37125970019,5947.84936028616,5303.18157850729,5878.16473073101,5726.25656229695,3192.62699431598,4947.38307600578
gene-b0127,1258.17615590438,1310.67456110038,1056.47349010476,1252.1101680447,1362.85713702219,910.062627954724,746.760269580179,638.516007308317,628.17815617876,1069.47160982067,897.459325083648,1254.59104545771
gene-b0128,586.455662752122,551.378153715924,533.519112502902,571.420806303662,512.811130112826,441.02419349433,449.455244220389,453.958640812351,394.713518606811,613.16372296385,523.059115846298,557.201680726619
gene-b0129,106.061130497724,168.4401042378,152.132182575085,85.0861702176299,93.1410612104714,60.8309232405972,76.0751094302993,96.2147408272806,72.2157565370858,63.1497521989347,371.253988991658,80.7410078759909
gene-b0130,133.096320624595,127.646016492708,107.760295990685,120.911926098737,120.976320882566,144.873646138791,169.638749764116,120.705765765134,132.560429807801,117.132604885121,221.808527321287,137.525892536029
gene-b0131,1915.33923898831,1689.66479563543,1993.56547582768,1699.93211655854,1634.78621228034,1927.37977846524,2129.2286375032,2232.18198719291,2021.05192609954,1952.54959621545,1902.67669358225,1922.70070403596
gene-b0132,25.9953751219912,17.1071980866516,28.5247842328284,34.9301119840796,16.0588036569778,36.8187166982562,23.609516719748,36.7365374067799,42.5380483711601,41.7603200025213,38.5411980097272,36.3778167353366
gene-b0133,2388.45506620855,1909.42649413319,2090.76103691731,1942.65161265304,1785.73896665594,1811.32078017726,2072.39091206677,2261.92108890316,2226.81736938329,2610.52927235274,2447.75935114839,1898.74458082001
gene-b0134,1611.71325756346,1381.7352300757,1354.3990143143,1209.11926098737,1407.82178726172,1327.87502179146,1673.65240746658,1701.25155371873,1728.23187219574,1995.32846060828,1969.5338738032,1774.52764562617
gene-b0135,36.3935251707877,36.8462728020188,44.3718865843998,120.911926098737,82.4351921058196,144.073239254046,53.3400192557271,45.4833320274417,56.3876455152588,77.4093736632103,70.7899555280704,163.256543397608
gene-b0136,8.31852003903719,9.21156820050469,19.0165228218856,16.1215901464983,12.8470429255823,25.6130203118304,3.49770618070341,8.74679462066187,9.89256938864189,7.12981073213779,13.3714360441911,11.5344296965701
